# Region type :       patch INLET
# Faces               : 25600
# Area                : 3.57823331707631e-02
# Scale factor        : 1.00000000000000e+00
# Time                	sum(phi)
0.046                 	-5.66651357095515e-02
0.0462                	-5.66780051776257e-02
0.0464                	-5.66666070948312e-02
0.0466                	-5.66448416022728e-02
0.0468                	-5.66266740184519e-02
0.047                 	-5.66157227407426e-02
0.0472                	-5.66157736473780e-02
0.0474                	-5.66271264092977e-02
0.0476                	-5.66405764147470e-02
0.0478                	-5.66419680891069e-02
0.048                 	-5.66219681401200e-02
0.0482                	-5.66128881969565e-02
0.0484                	-5.66380079231334e-02
0.0486                	-5.66763610426136e-02
0.0488                	-5.66857137585523e-02
0.049                 	-5.66632716317295e-02
0.0492                	-5.66382945330122e-02
0.0494                	-5.66466400405994e-02
0.0496                	-5.66572075419992e-02
0.0498                	-5.66392511662910e-02
0.05                  	-5.65894970663811e-02
0.0502                	-5.65491449219591e-02
0.0504                	-5.65494420648311e-02
0.0506                	-5.65567797338764e-02
0.0508                	-5.65568909017265e-02
0.051                 	-5.65298956565958e-02
0.0512                	-5.65051418899212e-02
0.0514                	-5.65029408744210e-02
0.0516                	-5.65344868005633e-02
0.0518                	-5.65722550434210e-02
0.052                 	-5.65818078085627e-02
0.0522                	-5.65634433446048e-02
0.0524                	-5.65367149553531e-02
0.0526                	-5.65399019384943e-02
0.0528                	-5.65631379044113e-02
0.053                 	-5.65885392411952e-02
0.0532                	-5.65948729119213e-02
0.0534                	-5.65941502564248e-02
0.0536                	-5.66117516869453e-02
0.0538                	-5.66513368113651e-02
0.054                 	-5.67007673384925e-02
0.0542                	-5.67373359262359e-02
0.0544                	-5.67661805573852e-02
0.0546                	-5.67971245305120e-02
0.0548                	-5.68314896822172e-02
0.055                 	-5.68524690406449e-02
0.0552                	-5.68762388318959e-02
0.0554                	-5.68905677959504e-02
0.0556                	-5.69042246285273e-02
0.0558                	-5.69192332086664e-02
0.056                 	-5.69191444635388e-02
0.0562                	-5.69062701018236e-02
0.0564                	-5.68941720762135e-02
0.0566                	-5.68982170882487e-02
0.0568                	-5.69056947903577e-02
0.057                 	-5.69176859825866e-02
0.0572                	-5.69058098822464e-02
0.0574                	-5.68893079966154e-02
0.0576                	-5.68579015212574e-02
0.0578                	-5.68385581855365e-02
0.058                 	-5.68367289606682e-02
0.0582                	-5.68388582366385e-02
0.0584                	-5.68033043020351e-02
0.0586                	-5.67517786003115e-02
0.0588                	-5.67053168668435e-02
0.059                 	-5.66848081647440e-02
0.0592                	-5.66833408303876e-02
0.0594                	-5.66763541780990e-02
0.0596                	-5.66490844156148e-02
0.0598                	-5.66114845133552e-02
0.06                  	-5.65961103522634e-02
0.0602                	-5.65921326230145e-02
0.0604                	-5.65823581301212e-02
0.0606                	-5.65419296301636e-02
0.0608                	-5.65078318825580e-02
0.061                 	-5.64770462299409e-02
0.0612                	-5.64683555295920e-02
0.0614                	-5.64610158074951e-02
0.0616                	-5.64452072472146e-02
0.0618                	-5.64330416414371e-02
0.062                 	-5.64225009731778e-02
0.0622                	-5.64253713690131e-02
0.0624                	-5.64305555523927e-02
0.0626                	-5.64263082212155e-02
0.0628                	-5.64048930584494e-02
0.063                 	-5.63853175738421e-02
0.0632                	-5.63688220085212e-02
0.0634                	-5.63533691599405e-02
0.0636                	-5.63363644350809e-02
0.0638                	-5.63268398142673e-02
0.064                 	-5.63115407862333e-02
0.0642                	-5.63012935641188e-02
0.0644                	-5.63016823158425e-02
0.0646                	-5.62962455897044e-02
0.0648                	-5.62919966663587e-02
0.065                 	-5.62909944016906e-02
0.0652                	-5.62799495801145e-02
0.0654                	-5.62676269923053e-02
0.0656                	-5.62701023988898e-02
0.0658                	-5.62770929257662e-02
0.066                 	-5.62836176332785e-02
0.0662                	-5.62889625533720e-02
0.0664                	-5.62856268257699e-02
0.0666                	-5.62891423033442e-02
0.0668                	-5.62916417100273e-02
0.067                 	-5.62921316273143e-02
0.0672                	-5.62867206490610e-02
0.0674                	-5.62966154279266e-02
0.0676                	-5.63217750741890e-02
0.0678                	-5.63532123355279e-02
0.068                 	-5.63797762521687e-02
0.0682                	-5.63928166181487e-02
0.0684                	-5.64062574030072e-02
0.0686                	-5.64353607192444e-02
0.0688                	-5.64759220082649e-02
0.069                 	-5.65039185949566e-02
0.0692                	-5.65122145554021e-02
0.0694                	-5.65030371220217e-02
0.0696                	-5.65088571821758e-02
0.0698                	-5.65478896944571e-02
0.07                  	-5.65930434510913e-02
0.0702                	-5.66080094821012e-02
0.0704                	-5.65869299023704e-02
0.0706                	-5.65719782491946e-02
0.0708                	-5.65884870947595e-02
0.071                 	-5.66160787664332e-02
0.0712                	-5.66069514508230e-02
0.0714                	-5.65843519550956e-02
0.0716                	-5.65657125667563e-02
0.0718                	-5.65809706395754e-02
0.072                 	-5.66054265120996e-02
0.0722                	-5.66092588909900e-02
0.0724                	-5.65903715709322e-02
0.0726                	-5.65833729479301e-02
0.0728                	-5.65985483898090e-02
0.073                 	-5.66101399357851e-02
0.0732                	-5.66101313884618e-02
0.0734                	-5.65931869430857e-02
0.0736                	-5.65808653836442e-02
0.0738                	-5.65653198988636e-02
0.074                 	-5.65643620191167e-02
0.0742                	-5.65853255253177e-02
0.0744                	-5.66086672756538e-02
0.0746                	-5.66242238671663e-02
0.0748                	-5.66315137814366e-02
0.075                 	-5.66430200720766e-02
0.0752                	-5.66615105735284e-02
0.0754                	-5.66847371997992e-02
0.0756                	-5.66984874504043e-02
0.0758                	-5.66920224774525e-02
0.076                 	-5.66789549820783e-02
0.0762                	-5.66723596921447e-02
0.0764                	-5.66628190714732e-02
0.0766                	-5.66440507272835e-02
0.0768                	-5.66307743783338e-02
